2015-01-01,23609.52381
2015-02-01,29058.82353
2015-03-01,34781.81818
2015-04-01,41163.63636
2015-05-01,51922.22222
2015-06-01,33836.36364
2015-07-01,26173.91304
2015-08-01,25500
2015-09-01,24910
2015-10-01,24714.28571
2015-11-01,25380.95238
2015-12-01,25495.2381
2016-01-01,28360
2016-02-01,31011.11111
2016-03-01,31990.90909
2016-04-01,31020
2016-05-01,37150
2016-06-01,24723.80952
2016-07-01,19228.57143
2016-08-01,21709.09091
2016-09-01,25168.42105
2016-10-01,25380
2016-11-01,28827.27273
2016-12-01,32485.71429
2017-01-01,33370
2017-02-01,35040
2017-03-01,35127.27273
2017-04-01,33110
2017-05-01,49073.68421
2017-06-01,31523.80952
2017-07-01,32485.71429
2017-08-01,39854.54545
2017-09-01,41276.19048
2017-10-01,42775
2017-11-01,42236.36364
2017-12-01,47010.52632
2018-01-01,51390.90909
2018-02-01,55366.66667
2018-03-01,60990.47619
2018-04-01,107704.7619
2018-05-01,63540
2018-06-01,29536.84211
2018-07-01,29618.18182
2018-08-01,43463.63636
2018-09-01,46623.52941
2018-10-01,44257.14286
2018-11-01,46572.72727
2018-12-01,46157.89474
2019-01-01,40272.72727
2019-02-01,33447.05882
2019-03-01,31660
2019-04-01,52418.18182
2019-05-01,42957.14286
2019-06-01,24057.89474
2019-07-01,21352.17391
2019-08-01,21004.7619
2019-09-01,21605.26316
2019-10-01,20804.7619
2019-11-01,22480.95238
2019-12-01,22660
2020-01-01,23427.5
2020-02-01,22870
2020-03-01,24250
2020-04-01,45820
2020-05-01,47278.94737
2020-06-01,28765.45455
2020-07-01,24742.6087
2020-08-01,32806
2020-09-01,35413.33333
2020-10-01,34283.15789
2020-11-01,35829.52381
2020-12-01,32947.61905
2021-01-01,34449
2021-02-01,35173.33333
2021-03-01,33477.27273
2021-04-01,29786.36364
2021-05-01,27912.22222
