"시점",면적 (ha),생산량 (M/T)
"시점",감자,감자
"2000",8393,277186
"2001",7740,229672
"2002",7082,258919
"2003",5840,176040
"2004",6273,186407
"2005",6923,225923
"2006",6214,158512
"2007",5050,168786
"2008",5113,182842
"2009",4989,171216
"2010",5582,186750
"2011",5816,147525
"2012",5740,189325
"2013",6249,182882
"2014",4758,159607
"2015",5170,177023
"2016",5137,164796
"2017",4891,138249
"2018",5148,140121
