date,평균기온,평균최고기온,평균최저기온,강수량,평균상대습도,최심신적설,평균풍속
201601,1,4.5,-4.3,24.7,47,8,2.1
201602,1.6,5.5,-2.6,45.7,57,17.2,2.1
201603,7.2,11.4,2.7,29.6,56,6.5,1.7
201604,13.5,18.6,8.2,70.4,60,-,2.1
201605,18.2,23.6,13.1,34.1,59,-,2
201606,20.8,24.9,17.3,64.4,78,-,1.4
201607,23.1,26.4,20.4,377.1,86,-,1.2
201608,24.9,28.9,21.5,259.4,80,-,1.3
201609,20,23.5,17.1,93.8,87,-,1.2
201610,14.9,19.1,11.6,82.2,77,-,1.3
201611,8.6,13.1,4.1,32.6,61,-,1.7
201612,4.5,8.7,1,90.2,57,185,1.8
201701,1.5,5.8,-2,48.5,43,31.3,3
201702,3.5,8.4,-0.8,3.5,38,...,3.1
201703,7.1,11.8,2.8,48.5,49,3.8,2.4
201704,15.4,20.7,10.3,39.8,44,...,2.8
201705,20.3,25.3,15.4,25,47,...,2.7
201706,21.2,25.7,17.1,27.2,62,...,1.9
201707,26.8,30.1,23.9,238.1,68,...,2
201708,24.3,27.4,21.6,444.1,75,...,1.6
201709,21.3,25.9,17.2,45.7,61,...,2.3
201710,15.2,19.2,11.8,114.5,67,...,1.9
201711,9,13.6,4.6,41.5,38,...,3
201712,1.5,5.9,-2.6,5.5,32,...,3.4
